"Notes"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"2013"	"2013"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	11147	316128839	3.5	0.4%
	"2013"	"2013"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	11119	316128839	3.5	0.4%
	"2013"	"2013"	"Hypertensive renal disease with renal failure"	"I12.0"	10535	316128839	3.3	0.4%
	"2013"	"2013"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	10413	316128839	3.3	0.4%
	"2013"	"2013"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	10062	316128839	3.2	0.4%
	"2013"	"2013"	"Assault by other and unspecified firearm discharge"	"X95"	9859	316128839	3.1	0.4%
	"2013"	"2013"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	9519	316128839	3.0	0.4%
	"2013"	"2013"	"Other fall on same level"	"W18"	9469	316128839	3.0	0.4%
	"2013"	"2013"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	9432	316128839	3.0	0.4%
	"2013"	"2013"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	9215	316128839	2.9	0.4%
	"2013"	"2013"	"Chronic renal failure, unspecified"	"N18.9"	9033	316128839	2.9	0.3%
	"2013"	"2013"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	8849	316128839	2.8	0.3%
	"2013"	"2013"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	8835	316128839	2.8	0.3%
	"2013"	"2013"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	8651	316128839	2.7	0.3%
	"2013"	"2013"	"Hyperlipidaemia, unspecified"	"E78.5"	8607	316128839	2.7	0.3%
	"2013"	"2013"	"Gastrointestinal haemorrhage, unspecified"	"K92.2"	8262	316128839	2.6	0.3%
	"2013"	"2013"	"Emphysema, unspecified"	"J43.9"	8252	316128839	2.6	0.3%
	"2013"	"2013"	"Cardiac arrhythmia, unspecified"	"I49.9"	8065	316128839	2.6	0.3%
	"2013"	"2013"	"Acute renal failure, unspecified"	"N17.9"	7878	316128839	2.5	0.3%
	"2013"	"2013"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	7870	316128839	2.5	0.3%
	"2013"	"2013"	"Enterocolitis due to Clostridium difficile"	"A04.7"	7665	316128839	2.4	0.3%
	"2013"	"2013"	"Heart disease, unspecified"	"I51.9"	7603	316128839	2.4	0.3%
	"2013"	"2013"	"Other lack of expected normal physiological development"	"R62.8"	7553	316128839	2.4	0.3%
	"2013"	"2013"	"Chronic viral hepatitis C"	"B18.2"	7365	316128839	2.3	0.3%
	"2013"	"2013"	"Heart failure, unspecified"	"I50.9"	7114	316128839	2.3	0.3%
	"2013"	"2013"	"Motor neuron disease"	"G12.2"	7044	316128839	2.2	0.3%
	"2013"	"2013"	"Peripheral vascular disease, unspecified"	"I73.9"	6957	316128839	2.2	0.3%
	"2013"	"2013"	"Malignant neoplasm of rectum"	"C20"	6824	316128839	2.2	0.3%
	"2013"	"2013"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	6547	316128839	2.1	0.3%
	"2013"	"2013"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	6533	316128839	2.1	0.3%
	"2013"	"2013"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	6457	316128839	2.0	0.2%
	"2013"	"2013"	"Generalized and unspecified atherosclerosis"	"I70.9"	6444	316128839	2.0	0.2%
	"2013"	"2013"	"Cardiovascular disease, unspecified"	"I51.6"	6386	316128839	2.0	0.2%
	"2013"	"2013"	"Cerebrovascular disease, unspecified"	"I67.9"	6167	316128839	2.0	0.2%
	"2013"	"2013"	"Vascular disorder of intestine, unspecified"	"K55.9"	5991	316128839	1.9	0.2%
	"2013"	"2013"	"Other secondary pulmonary hypertension"	"I27.2"	5929	316128839	1.9	0.2%
	"2013"	"2013"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	5638	316128839	1.8	0.2%
	"2013"	"2013"	"Malignant neoplasm of uterus, part unspecified"	"C55"	5422	316128839	1.7	0.2%
	"2013"	"2013"	"Endocarditis, valve unspecified"	"I38"	5398	316128839	1.7	0.2%
	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"	5388	316128839	1.7	0.2%
	"2013"	"2013"	"Senility"	"R54"	5247	316128839	1.7	0.2%
	"2013"	"2013"	"Liver disease, unspecified"	"K76.9"	5087	316128839	1.6	0.2%
	"2013"	"2013"	"Other and unspecified intestinal obstruction"	"K56.6"	4911	316128839	1.6	0.2%
	"2013"	"2013"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	4658	316128839	1.5	0.2%
	"2013"	"2013"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	4613	316128839	1.5	0.2%
	"2013"	"2013"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	4570	316128839	1.4	0.2%
	"2013"	"2013"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	4556	316128839	1.4	0.2%
	"2013"	"2013"	"Respiratory failure, unspecified"	"J96.9"	4307	316128839	1.4	0.2%
	"2013"	"2013"	"Chronic obstructive pulmonary disease with acute exacerbation, unspecified"	"J44.1"	4306	316128839	1.4	0.2%
	"2013"	"2013"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	4290	316128839	1.4	0.2%
	"2013"	"2013"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	4163	316128839	1.3	0.2%
	"2013"	"2013"	"Interstitial pulmonary disease, unspecified"	"J84.9"	3941	316128839	1.2	0.2%
	"2013"	"2013"	"Multiple sclerosis"	"G35"	3882	316128839	1.2	0.1%
	"2013"	"2013"	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	3860	316128839	1.2	0.1%
	"2013"	"2013"	"Endometrium - Malignant neoplasms"	"C54.1"	3832	316128839	1.2	0.1%
	"2013"	"2013"	"Other obesity"	"E66.8"	3816	316128839	1.2	0.1%
	"2013"	"2013"	"Dilated cardiomyopathy"	"I42.0"	3611	316128839	1.1	0.1%
	"2013"	"2013"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	3544	316128839	1.1	0.1%
	"2013"	"2013"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	3536	316128839	1.1	0.1%
	"2013"	"2013"	"Hepatic failure, unspecified"	"K72.9"	3512	316128839	1.1	0.1%
	"2013"	"2013"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	3447	316128839	1.1	0.1%
	"2013"	"2013"	"Inhalation and ingestion of other objects causing obstruction of respiratory tract"	"W80"	3368	316128839	1.1	0.1%
	"2013"	"2013"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	3305	316128839	1.0	0.1%
	"2013"	"2013"	"Other disorders of lung"	"J98.4"	3299	316128839	1.0	0.1%
	"2013"	"2013"	"Cerebral infarction, unspecified"	"I63.9"	3246	316128839	1.0	0.1%
	"2013"	"2013"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	3244	316128839	1.0	0.1%
	"2013"	"2013"	"Extreme immaturity"	"P07.2"	3171	316128839	1.0	0.1%
	"2013"	"2013"	"Asthma, unspecified"	"J45.9"	3154	316128839	1.0	0.1%
	"2013"	"2013"	"Dissection of aorta [any part]"	"I71.0"	3098	316128839	1.0	0.1%
	"2013"	"2013"	"Exposure to unspecified factor causing fracture"	"X59.0"	3063	316128839	1.0	0.1%
	"2013"	"2013"	"Malignant neoplasm of rectosigmoid junction"	"C19"	3026	316128839	1.0	0.1%
	"2013"	"2013"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	3025	316128839	1.0	0.1%
	"2013"	"2013"	"Pedestrian injured in traffic accident involving other and unspecified motor vehicles"	"V09.2"	2963	316128839	0.9	0.1%
	"2013"	"2013"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	2909	316128839	0.9	0.1%
	"2013"	"2013"	"Other specified degenerative diseases of nervous system"	"G31.8"	2904	316128839	0.9	0.1%
	"2013"	"2013"	"Malaise and fatigue"	"R53"	2717	316128839	0.9	0.1%
	"2013"	"2013"	"Degenerative disease of nervous system, unspecified"	"G31.9"	2711	316128839	0.9	0.1%
	"2013"	"2013"	"Abdominal aortic aneurysm, ruptured"	"I71.3"	2612	316128839	0.8	0.1%
	"2013"	"2013"	"Anaemia, unspecified"	"D64.9"	2600	316128839	0.8	0.1%
	"2013"	"2013"	"Phlebitis and thrombophlebitis of other deep vessels of lower extremities"	"I80.2"	2551	316128839	0.8	0.1%
	"2013"	"2013"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	2547	316128839	0.8	0.1%
	"2013"	"2013"	"Alcoholic liver disease, unspecified"	"K70.9"	2543	316128839	0.8	0.1%
	"2013"	"2013"	"Obesity, unspecified"	"E66.9"	2462	316128839	0.8	0.1%
	"2013"	"2013"	"Acute pancreatitis, unspecified"	"K85.9"	2452	316128839	0.8	0.1%
	"2013"	"2013"	"Subdural haemorrhage (acute)(nontraumatic)"	"I62.0"	2426	316128839	0.8	0.1%
	"2013"	"2013"	"Acute ischaemic heart disease, unspecified"	"I24.9"	2409	316128839	0.8	0.1%
	"2013"	"2013"	"Large cell (diffuse) - Malignant neoplasms"	"C83.3"	2390	316128839	0.8	0.1%
	"2013"	"2013"	"Alzheimer's disease with late onset"	"G30.1"	2387	316128839	0.8	0.1%
	"2013"	"2013"	"Exposure to unspecified factor causing other and unspecified injury"	"X59.9"	2344	316128839	0.7	0.1%
	"2013"	"2013"	"Perforation of intestine (nontraumatic)"	"K63.1"	2278	316128839	0.7	0.1%
	"2013"	"2013"	"Exposure to uncontrolled fire in building or structure"	"X00"	2266	316128839	0.7	0.1%
	"2013"	"2013"	"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"	"I13.2"	2259	316128839	0.7	0.1%
	"2013"	"2013"	"Accidental poisoning by and exposure to alcohol"	"X45"	2244	316128839	0.7	0.1%
	"2013"	"2013"	"Fall on and from stairs and steps"	"W10"	2233	316128839	0.7	0.1%
	"2013"	"2013"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	2165	316128839	0.7	0.1%
	"2013"	"2013"	"Malignant neoplasm of gallbladder"	"C23"	2160	316128839	0.7	0.1%
	"2013"	"2013"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	2142	316128839	0.7	0.1%
	"2013"	"2013"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	2124	316128839	0.7	0.1%
	"2013"	"2013"	"Rheumatoid arthritis, unspecified"	"M06.9"	2122	316128839	0.7	0.1%
	"2013"	"2013"	"B-cell lymphoma, unspecified - Malignant neoplasms"	"C85.1"	2096	316128839	0.7	0.1%
	"2013"	"2013"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	2088	316128839	0.7	0.1%
	"2013"	"2013"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	2067	316128839	0.7	0.1%
	"2013"	"2013"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	2050	316128839	0.6	0.1%
	"2013"	"2013"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	2046	316128839	0.6	0.1%
	"2013"	"2013"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	2001	316128839	0.6	0.1%
	"2013"	"2013"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	1987	316128839	0.6	0.1%
	"2013"	"2013"	"Mitral (valve) insufficiency"	"I34.0"	1951	316128839	0.6	0.1%
	"2013"	"2013"	"Encephalopathy, unspecified"	"G93.4"	1933	316128839	0.6	0.1%
	"2013"	"2013"	"Unspecified protein-energy malnutrition"	"E46"	1923	316128839	0.6	0.1%
	"2013"	"2013"	"Volume depletion"	"E86"	1922	316128839	0.6	0.1%
	"2013"	"2013"	"Respiratory arrest"	"R09.2"	1907	316128839	0.6	0.1%
	"2013"	"2013"	"Malignant neoplasm of thyroid gland"	"C73"	1850	316128839	0.6	0.1%
	"2013"	"2013"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	1820	316128839	0.6	0.1%
	"2013"	"2013"	"Pure hypercholesterolaemia"	"E78.0"	1808	316128839	0.6	0.1%
	"2013"	"2013"	"Cardiomegaly"	"I51.7"	1785	316128839	0.6	0.1%
	"2013"	"2013"	"Chronic respiratory failure"	"J96.1"	1778	316128839	0.6	0.1%
	"2013"	"2013"	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	1763	316128839	0.6	0.1%
	"2013"	"2013"	"Assault by unspecified means"	"Y09"	1720	316128839	0.5	0.1%
	"2013"	"2013"	"Acidosis"	"E87.2"	1718	316128839	0.5	0.1%
	"2013"	"2013"	"Other specified general symptoms and signs"	"R68.8"	1701	316128839	0.5	0.1%
	"2013"	"2013"	"Bacterial pneumonia, unspecified"	"J15.9"	1698	316128839	0.5	0.1%
	"2013"	"2013"	"Other forms of chronic ischaemic heart disease"	"I25.8"	1686	316128839	0.5	0.1%
	"2013"	"2013"	"Infantile cerebral palsy, unspecified"	"G80.9"	1670	316128839	0.5	0.1%
	"2013"	"2013"	"Lobar pneumonia, unspecified"	"J18.1"	1663	316128839	0.5	0.1%
	"2013"	"2013"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	1653	316128839	0.5	0.1%
	"2013"	"2013"	"Assault by sharp object"	"X99"	1639	316128839	0.5	0.1%
	"2013"	"2013"	"Acute vascular disorders of intestine"	"K55.0"	1635	316128839	0.5	0.1%
	"2013"	"2013"	"Malignant neoplasm of skin, unspecified - Malignant neoplasms"	"C44.9"	1627	316128839	0.5	0.1%
	"2013"	"2013"	"Adult respiratory distress syndrome"	"J80"	1620	316128839	0.5	0.1%
	"2013"	"2013"	"Drowning and submersion while in natural water"	"W69"	1610	316128839	0.5	0.1%
	"2013"	"2013"	"Sudden infant death syndrome - SIDS"	"R95"	1563	316128839	0.5	0.1%
	"2013"	"2013"	"Aortic valve disorder, unspecified"	"I35.9"	1541	316128839	0.5	0.1%
	"2013"	"2013"	"Other forms of acute ischaemic heart disease"	"I24.8"	1527	316128839	0.5	0.1%
	"2013"	"2013"	"Other specified disorders of kidney and ureter"	"N28.8"	1482	316128839	0.5	0.1%
	"2013"	"2013"	"Sudden cardiac death, so described"	"I46.1"	1479	316128839	0.5	0.1%
	"2013"	"2013"	"Hypertensive heart and renal disease with renal failure"	"I13.1"	1477	316128839	0.5	0.1%
	"2013"	"2013"	"Alcoholic hepatic failure"	"K70.4"	1473	316128839	0.5	0.1%
	"2013"	"2013"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	1436	316128839	0.5	0.1%
	"2013"	"2013"	"Other specified chronic obstructive pulmonary disease"	"J44.8"	1432	316128839	0.5	0.1%
	"2013"	"2013"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	1429	316128839	0.5	0.1%
	"2013"	"2013"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	1425	316128839	0.5	0.1%
	"2013"	"2013"	"Abdominal aortic aneurysm, without mention of rupture"	"I71.4"	1408	316128839	0.4	0.1%
	"2013"	"2013"	"Osteomyelitis, unspecified"	"M86.9"	1396	316128839	0.4	0.1%
	"2013"	"2013"	"Hypothyroidism, unspecified"	"E03.9"	1387	316128839	0.4	0.1%
	"2013"	"2013"	"Fatty (change of) liver, not elsewhere classified"	"K76.0"	1384	316128839	0.4	0.1%
	"2013"	"2013"	"Multi-infarct dementia"	"F01.1"	1349	316128839	0.4	0.1%
	"2013"	"2013"	"Influenza with pneumonia, virus not identified"	"J11.0"	1344	316128839	0.4	0.1%
	"2013"	"2013"	"Other specified cerebrovascular diseases"	"I67.8"	1329	316128839	0.4	0.1%
	"2013"	"2013"	"Cerebral infarction due to embolism of cerebral arteries"	"I63.4"	1327	316128839	0.4	0.1%
	"2013"	"2013"	"HIV disease resulting in other specified conditions"	"B23.8"	1322	316128839	0.4	0.1%
	"2013"	"2013"	"Ventricular fibrillation and flutter"	"I49.0"	1301	316128839	0.4	0.1%
	"2013"	"2013"	"Acute respiratory failure"	"J96.0"	1297	316128839	0.4	0.0%
	"2013"	"2013"	"Cerebral atherosclerosis"	"I67.2"	1266	316128839	0.4	0.0%
	"2013"	"2013"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	1252	316128839	0.4	0.0%
	"2013"	"2013"	"Other ill-defined heart diseases"	"I51.8"	1250	316128839	0.4	0.0%
	"2013"	"2013"	"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V43.5"	1229	316128839	0.4	0.0%
	"2013"	"2013"	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	1224	316128839	0.4	0.0%
	"2013"	"2013"	"Acute and subacute infective endocarditis"	"I33.0"	1216	316128839	0.4	0.0%
	"2013"	"2013"	"Diverticular disease of intestine, part unspecified, with perforation and abscess"	"K57.8"	1212	316128839	0.4	0.0%
	"2013"	"2013"	"Pleural effusion, not elsewhere classified"	"J90"	1197	316128839	0.4	0.0%
	"2013"	"2013"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	1196	316128839	0.4	0.0%
	"2013"	"2013"	"Alcoholic hepatitis"	"K70.1"	1181	316128839	0.4	0.0%
	"2013"	"2013"	"Metabolic disorder, unspecified"	"E88.9"	1178	316128839	0.4	0.0%
	"2013"	"2013"	"Inhalation and ingestion of food causing obstruction of respiratory tract"	"W79"	1177	316128839	0.4	0.0%
	"2013"	"2013"	"Pulmonary heart disease, unspecified"	"I27.9"	1175	316128839	0.4	0.0%
	"2013"	"2013"	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	1148	316128839	0.4	0.0%
	"2013"	"2013"	"Diverticular disease of intestine, part unspecified, without perforation or abscess"	"K57.9"	1145	316128839	0.4	0.0%
	"2013"	"2013"	"Other and unspecified convulsions"	"R56.8"	1142	316128839	0.4	0.0%
	"2013"	"2013"	"Sequelae of other accidents"	"Y86"	1127	316128839	0.4	0.0%
	"2013"	"2013"	"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident"	"V47.5"	1122	316128839	0.4	0.0%
	"2013"	"2013"	"Coagulation defect, unspecified"	"D68.9"	1120	316128839	0.4	0.0%
	"2013"	"2013"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	1114	316128839	0.4	0.0%
	"2013"	"2013"	"Insulin-dependent diabetes mellitus, with renal complications"	"E10.2"	1114	316128839	0.4	0.0%
	"2013"	"2013"	"Acute cholecystitis"	"K81.0"	1080	316128839	0.3	0.0%
	"2013"	"2013"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	1077	316128839	0.3	0.0%
	"2013"	"2013"	"Hodgkin's disease, unspecified - Malignant neoplasms"	"C81.9"	1072	316128839	0.3	0.0%
	"2013"	"2013"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	1071	316128839	0.3	0.0%
	"2013"	"2013"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	1066	316128839	0.3	0.0%
	"2013"	"2013"	"Down's syndrome, unspecified"	"Q90.9"	1053	316128839	0.3	0.0%
	"2013"	"2013"	"Mitral valve disease, unspecified"	"I05.9"	1039	316128839	0.3	0.0%
	"2013"	"2013"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	1036	316128839	0.3	0.0%
	"2013"	"2013"	"Sleep apnoea"	"G47.3"	1028	316128839	0.3	0.0%
	"2013"	"2013"	"Unspecified severe protein-energy malnutrition"	"E43"	1025	316128839	0.3	0.0%
	"2013"	"2013"	"Non-insulin-dependent diabetes mellitus, with multiple complications"	"E11.7"	1023	316128839	0.3	0.0%
	"2013"	"2013"	"Cholecystitis, unspecified"	"K81.9"	1021	316128839	0.3	0.0%
	"2013"	"2013"	"Huntington's disease"	"G10"	1016	316128839	0.3	0.0%
	"2013"	"2013"	"Congenital malformation of heart, unspecified"	"Q24.9"	1015	316128839	0.3	0.0%
	"2013"	"2013"	"Systemic lupus erythematosus with organ or system involvement"	"M32.1"	1014	316128839	0.3	0.0%
	"2013"	"2013"	"Car occupant [any] injured in unspecified traffic accident"	"V49.9"	1011	316128839	0.3	0.0%
	"2013"	"2013"	"Other preterm infants"	"P07.3"	1007	316128839	0.3	0.0%
	"2013"	"2013"	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	989	316128839	0.3	0.0%
	"2013"	"2013"	"Decubitus ulcer and pressure area, unspecified"	"L89.9"	986	316128839	0.3	0.0%
	"2013"	"2013"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	985	316128839	0.3	0.0%
	"2013"	"2013"	"Motorcycle rider [any] injured in unspecified traffic accident"	"V29.9"	985	316128839	0.3	0.0%
	"2013"	"2013"	"Vulva, unspecified - Malignant neoplasms"	"C51.9"	984	316128839	0.3	0.0%
	"2013"	"2013"	"Intentional self-harm by jumping from a high place"	"X80"	976	316128839	0.3	0.0%
	"2013"	"2013"	"Small cleaved cell (diffuse) - Malignant neoplasms"	"C83.1"	964	316128839	0.3	0.0%
	"2013"	"2013"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	962	316128839	0.3	0.0%
	"2013"	"2013"	"Epilepsy, unspecified"	"G40.9"	950	316128839	0.3	0.0%
	"2013"	"2013"	"Other specified conduction disorders"	"I45.8"	942	316128839	0.3	0.0%
	"2013"	"2013"	"Bronchiectasis"	"J47"	938	316128839	0.3	0.0%
	"2013"	"2013"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	931	316128839	0.3	0.0%
	"2013"	"2013"	"Other and unspecified T-cell lymphomas - Malignant neoplasms"	"C84.5"	912	316128839	0.3	0.0%
	"2013"	"2013"	"Accidental suffocation and strangulation in bed"	"W75"	903	316128839	0.3	0.0%
	"2013"	"2013"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	902	316128839	0.3	0.0%
	"2013"	"2013"	"Aortic aneurysm of unspecified site, ruptured"	"I71.8"	885	316128839	0.3	0.0%
